"scrape_datetime","website_url","title","rank","brand","type","type_2","tonnage","star_rating","selling_price","review count","review_rating"
"2026-03-11 00:19:34","https://www.amazon.in/Panasonic-DustBuster-Convertible-CS-CU-SU18BKY3W/dp/B0GHQVNMKQ/ref=zg_bs_g_3474656031_d_sccl_18/523-2854108-2778710","Panasonic 1.5 Ton 3 Star Premium Wi-Fi Inverter Smart Split AC (Matter/MirAIe, AI, DustBuster, 55°C Oper., Copper Condenser, 8in1 Convertible, 2-Way, PM0.1 Filter, CS/CU-SU18BKY3W, 2026 Model, White)","18","Panasonic","Inverter","Split","1.5","3","3236990","891","3.9"
"2026-03-11 00:19:34","https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-AS-Q18JNXE/dp/B0GF1JFPV8/ref=zg_bs_g_3474656031_d_sccl_19/523-2854108-2778710","LG 1.5 Ton 3 Star Smart Inverter Split AC (Copper, AI Convertible 6-in-1, Faster Cooling & Energy Saving, Diet Mode+, HD Filter with Anti-Virus Protection, Him Clean, 2026 Model, AS-Q18JNXE, White)","19","LG","Inverter","Split","1.5","3","5235990","1809","3.9"
"2026-03-11 00:19:34","https://www.amazon.in/Cruise-Inverter-Filtration-Convertible-CWCVBK-VQ1W173/dp/B0CRF441PK/ref=zg_bs_g_3474656031_d_sccl_20/523-2854108-2778710","Cruise 1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, CWCVBK-VQ1W173, White)","20","Cruise","Inverter","Split","1.5","3","4226990","546","4.3"
"2026-03-11 00:19:34","https://www.amazon.in/Samsung-Inverter-Powerful-Convertible-AR50F19D15HNNA/dp/B0F2SWZD7D/ref=zg_bs_g_3474656031_d_sccl_21/523-2854108-2778710","Samsung 1.5 Ton 5 Star AI Inverter Smart Split AC (WiFi, Energy Saving, Voice Control, Powerful Cooling, Copper, Digital Inverter, 4 Way swing, 5 Step Convertible, BESPOKE AI AR50F19D15HNNA)","21","Samsung","Inverter","Split","1.5","5","4940490","55","4.2"
"2026-03-11 00:19:34","https://www.amazon.in/Voltas-Inverter-Copper-Adjustable-Anti-dust/dp/B0CWVDN3HZ/ref=zg_bs_g_3474656031_d_sccl_22/523-2854108-2778710","Voltas 185V Vectra CAR 1.5 ton 5 star inverter Split AC|4-IN-1 Adjustable mode|Energy Efficient|High ambient Cooling-cools even at 52°C|Anti dust filter with Anti-microbial coating|Copper Coil|White","22","Voltas","Inverter","Split","1.5","5","38490","2558","4.1"
"2026-03-11 00:19:34","https://www.amazon.in/Cruise-Inverter-Filtration-Convertible-CWCVBL-VQ1W123/dp/B0D17YKRXB/ref=zg_bs_g_3474656031_d_sccl_23/523-2854108-2778710","Cruise 1 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, CWCVBL-VQ1W123, White)","23","Cruise","Inverter","Split","1","3","4523940","1905","4.2"
"2026-03-11 00:19:34","https://www.amazon.in/Carrier-Flexicool-Convertible-Geo-Fencing-WiFi-CAI12EE3R36W0/dp/B0GCDYL2T1/ref=zg_bs_g_3474656031_d_sccl_24/523-2854108-2778710","Carrier 1 Ton 3 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 with Wi-Fi with Geo-Fencing, Smart Energy Display,New BEE rated, ESTER EDGE Gxi WiFi-CAI12EE3R36W0, White)","24","Carrier","Inverter","Split","1","3","4630990","945","4.4"
"2026-03-11 00:19:34","https://www.amazon.in/Carrier-Flexicool-Convertible-Geo-Fencing-WiFi-CAI12EE5R36W0/dp/B0GCFB848D/ref=zg_bs_g_3474656031_d_sccl_25/523-2854108-2778710","Carrier 1 Ton 5 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 with Wi-Fi with Geo-Fencing,Smart Energy Display, New BEE rated, ESTER EDGE Gxi WiFi-CAI12EE5R36W0, White)","25","Carrier","Inverter","Split","1","5","","388","4.5"
"2026-03-11 00:19:34","https://www.amazon.in/Godrej-Comprehensive-Convertible-24I3T-WZR/dp/B0FG38QBZB/ref=zg_bs_g_3474656031_d_sccl_26/523-2854108-2778710","Godrej 2 Ton 3 Star, 5 Years Comprehensive Warranty, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, AC 2T EI 24I3T WZR, White)","26","Godrej","Inverter","Split","2","3","3837990","458","3.8"
"2026-03-11 00:19:34","https://www.amazon.in/Daikin-Fixed-Copper-Filter-FTL28U/dp/B09R4SF5SP/ref=zg_bs_g_3474656031_d_sccl_27/523-2854108-2778710","Daikin 0.8 Ton 3 Star, Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL28U, White)","27","Daikin","Non-Inverter","Split","0.8","3","3324990","2270","4.1"
"2026-03-11 00:19:34","https://www.amazon.in/Hitachi-Xpandable-Inverter-5500STXL-RAS-V522PCBISH1/dp/B0DS5LF6H2/ref=zg_bs_g_3474656031_d_sccl_28/523-2854108-2778710","Hitachi 2 Ton 5 Star Xpandable+ Inverter Split AC (100% Copper, 4-Way Swing, ice Clean, Dust Filter, 5500STXL RAS.V522PCBISH1, White","28","Hitachi","Inverter","Split","2","5","4850999","255","4.1"
